" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2015, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example H: a pedestrian ramp (units: kip  in)               "
" Sun Nov  1 22:45:13 2015
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions , Internal Forces 
 First Row , 1 , 17 , 167 , 759  , 911  
 Last Row , 1 , 164 , 756 , 906 , 1500 

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     2,     7,  4.77137e-01, -1.67369e+00, -1.28708e+00, -1.71579e-03,  6.25426e+01, -1.60437e+02,
     2,    11,  4.77137e-01,  1.67369e+00,  1.28708e+00,  1.71579e-03,  9.19067e+01, -4.04060e+01,
     3,    11,  4.77137e-01,  3.27663e-01, -2.31638e+00, -2.05938e-04,  1.30577e+02,  3.47837e+01,
     3,    15,  4.77137e-01, -3.27663e-01,  2.31638e+00,  2.05938e-04,  1.47389e+02,  4.53585e+00,
     4,    15,  4.77137e-01,  1.35730e-01, -3.11016e+00,  2.28006e-03,  1.77211e+02, -2.67494e+00,
     4,    19,  4.77137e-01, -1.35730e-01,  3.11016e+00, -2.28006e-03,  1.96009e+02,  1.89626e+01,
     5,    19,  4.77137e-01, -9.61653e-01, -3.18500e+00,  4.18488e-04,  1.98821e+02, -2.22655e+01,
     5,    23,  4.77137e-01,  9.61653e-01,  3.18500e+00, -4.18488e-04,  1.83380e+02, -9.31329e+01,
     6,    23,  4.77137e-01,  4.36557e+00, -5.52095e+00,  2.01554e-02,  2.71140e+02,  1.07008e+02,
     6,    27,  4.77137e-01, -4.36557e+00,  5.52095e+00, -2.01554e-02,  3.91373e+02,  4.16860e+02,
     7,     2,  3.87155e+02, -2.01397e-02, -2.11746e+01,  1.61222e-02,  3.07846e+02, -8.81106e-01,
     7,     8, -3.86678e+02,  2.01397e-02,  2.11746e+01, -1.61222e-02,  9.62222e+02, -3.44046e-01,
     8,     8,  3.16516e+02, -1.55545e-02, -1.57798e+01, -2.82104e-03,  9.23248e+02, -7.93948e-01,
     8,    12, -3.15562e+02,  1.55545e-02,  1.57798e+01,  2.82104e-03,  9.70537e+02, -1.11692e+00,
     9,    12,  2.47066e+02, -1.62408e-02, -1.71743e+01,  4.29717e-03,  1.02225e+03, -4.88686e-01,
     9,    16, -2.46112e+02,  1.62408e-02,  1.71743e+01, -4.29717e-03,  1.03873e+03, -1.44673e+00,
    10,    16,  1.79351e+02, -2.15859e-02, -1.77423e+01,  8.26560e-03,  1.05942e+03, -9.85522e-01,
    10,    20, -1.78396e+02,  2.15859e-02,  1.77423e+01, -8.26560e-03,  1.06965e+03, -1.55927e+00,
    11,    20,  1.12805e+02, -2.88452e-02, -1.85389e+01,  2.04879e-02,  1.10525e+03, -1.68531e+00,
    11,    24, -1.11851e+02,  2.88452e-02,  1.85389e+01, -2.04879e-02,  1.11960e+03, -1.74233e+00,
    12,    24,  4.68952e+01, -5.70797e-02, -1.85984e+01, -5.10492e-02,  1.10784e+03, -2.71309e+00,
    12,    28, -4.59409e+01,  5.70797e-02,  1.85984e+01,  5.10492e-02,  1.12384e+03, -4.12114e+00,
    13,     5,  3.53400e+02,  6.51015e-03,  1.00204e+01,  2.28139e-02, -4.02894e+02,  1.53874e+00,
    13,     9, -3.52446e+02, -6.51015e-03, -1.00204e+01, -2.28139e-02, -8.01982e+02, -6.21828e-01,
    14,     9,  2.81574e+02,  1.42789e-02,  1.64722e+01,  1.42935e-02, -1.01052e+03,  1.67804e+00,
    14,    13, -2.80620e+02, -1.42789e-02, -1.64722e+01, -1.42935e-02, -9.65034e+02,  3.12925e-01,
    15,    13,  2.11039e+02,  1.85705e-02,  1.64065e+01,  4.87902e-03, -9.73265e+02,  1.39838e+00,
    15,    17, -2.10084e+02, -1.85705e-02, -1.64065e+01, -4.87902e-03, -9.95343e+02,  1.09770e+00,
    16,    17,  1.41236e+02,  1.45845e-02,  1.61578e+01, -4.85509e-03, -9.89224e+02,  7.42615e-01,
    16,    21, -1.40282e+02, -1.45845e-02, -1.61578e+01,  4.85509e-03, -9.49720e+02,  1.17895e+00,
    17,    21,  7.21668e+01,  1.12652e-02,  2.21429e+01,  1.17558e-02, -1.10215e+03,  2.08530e-01,
    17,    25, -7.12126e+01, -1.12652e-02, -2.21429e+01, -1.17558e-02, -1.55343e+03,  1.21288e+00,
    18,     6,  1.58554e+02,  4.31668e-02,  1.12461e+00,  2.73539e-02, -6.49614e+01,  5.16951e+00,
    18,    10, -1.57599e+02, -4.31668e-02, -1.12461e+00, -2.73539e-02, -7.10619e+01,  1.78575e-01,
    19,    10,  1.27825e+02,  3.53746e-02,  5.70549e-01,  2.42872e-02, -1.55427e+01,  2.47130e+00,
    19,    14, -1.26870e+02, -3.53746e-02, -5.70549e-01, -2.42872e-02, -5.24610e+01,  2.00860e+00,
    20,    14,  9.58886e+01,  2.27965e-02,  1.53004e+00,  6.93041e-03, -9.80233e+01,  8.65697e-01,
    20,    18, -9.49343e+01, -2.27965e-02, -1.53004e+00, -6.93041e-03, -8.55041e+01,  2.02722e+00,
