" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2015, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example H: a pedestrian ramp (units: kip  in)               "
" Sun Nov  1 22:45:13 2015
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions , Internal Forces 
 First Row , 1 , 17 , 167 , 759  , 911  
 Last Row , 1 , 164 , 756 , 906 , 1500 

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
   255,   110,  1.73522e+00,  2.93253e-04,  1.24483e+01,  7.67540e-03,  4.85190e+02,  2.34268e-03,
   256,    11,      0.0,    1.14237e-03,  1.26227e+01,  1.88650e-02, -5.05987e+02,  1.60101e-01,
   256,   111,      0.0,   -1.14237e-03,  1.24708e+01, -1.88650e-02,  4.87757e+02,  1.14069e-01,
   257,    12, -6.83253e-02,  3.74189e-03,  1.25201e+01,  3.79297e-01, -4.94677e+02,  3.61444e-01,
   257,   112,  6.83253e-02, -3.74189e-03,  1.25734e+01, -3.79297e-01,  5.01069e+02,  5.36547e-01,
   258,    13,  2.01266e-01,  1.16097e-02,  1.25053e+01, -3.69574e-01, -4.92964e+02,  1.31828e+00,
   258,   113, -2.01266e-01, -1.16097e-02,  1.25882e+01,  3.69574e-01,  5.02914e+02,  1.46927e+00,
   259,    14,  2.15807e-01,  5.66576e-03,  1.25955e+01, -2.57543e-02, -5.03859e+02,  6.47937e-01,
   259,   114, -2.15807e-01, -5.66576e-03,  1.24981e+01,  2.57543e-02,  4.92174e+02,  7.13133e-01,
   260,    15,      0.0,    1.26101e-03,  1.26490e+01,  3.73575e-02, -5.10684e+02,  1.72150e-01,
   260,   115,      0.0,   -1.26101e-03,  1.24445e+01, -3.73575e-02,  4.86136e+02,  1.30494e-01,
   261,    16, -9.96375e-02,  3.66564e-03,  1.24618e+01,  3.92036e-01, -4.87610e+02,  3.50699e-01,
   261,   116,  9.96375e-02, -3.66564e-03,  1.26318e+01, -3.92036e-01,  5.08004e+02,  5.28930e-01,
   262,    17,  3.09185e-01,  1.30459e-02,  1.24654e+01, -3.88166e-01, -4.87847e+02,  1.49423e+00,
   262,   117, -3.09185e-01, -1.30459e-02,  1.26281e+01,  3.88166e-01,  5.07388e+02,  1.63892e+00,
   263,    18,  3.08192e-01,  6.13894e-03,  1.25802e+01, -9.41587e-03, -5.01745e+02,  7.25395e-01,
   263,   118, -3.08192e-01, -6.13894e-03,  1.25133e+01,  9.41587e-03,  4.93722e+02,  7.50064e-01,
   264,    19,      0.0,   -5.43122e-04,  1.26379e+01,  4.70453e-02, -5.07934e+02, -3.17564e-04,
   264,   119,      0.0,    5.43122e-04,  1.24557e+01, -4.70453e-02,  4.86069e+02, -1.30032e-01,
   265,    20,  3.32092e-01, -4.52858e-04,  1.24213e+01,  4.25204e-01, -4.82566e+02, -1.50221e-01,
   265,   120, -3.32092e-01,  4.52858e-04,  1.26722e+01, -4.25204e-01,  5.12694e+02,  4.17933e-02,
   266,    21, -2.61468e+00,  9.22965e-03,  1.23976e+01, -3.21248e-01, -4.81146e+02,  1.07303e+00,
   266,   121,  2.61468e+00, -9.22965e-03,  1.26959e+01,  3.21248e-01,  5.16775e+02,  1.12716e+00,
   267,    22, -2.52520e+00,  2.77320e-03,  1.25312e+01, -2.75788e-02, -4.97216e+02,  2.87085e-01,
   267,   122,  2.52520e+00, -2.77320e-03,  1.25623e+01,  2.75788e-02,  5.00875e+02,  3.63943e-01,
   268,    23,      0.0,    4.46548e-03,  1.26670e+01,  6.64541e-02, -5.16350e+02,  3.93274e-01,
   268,   123,      0.0,   -4.46548e-03,  1.24265e+01, -6.64541e-02,  4.87482e+02,  6.78441e-01,
   269,    24, -2.60025e+00, -1.23744e-03,  1.23565e+01,  3.23948e-01, -4.76222e+02, -3.46306e-01,
   269,   124,  2.60025e+00,  1.23744e-03,  1.27370e+01, -3.23948e-01,  5.21692e+02,  4.49709e-02,
   270,    25,  6.55969e+00,  1.21705e-02,  1.25838e+01, -7.20551e-01, -4.95097e+02,  1.24503e+00,
   270,   125, -6.55969e+00, -1.21705e-02,  1.25098e+01,  7.20551e-01,  4.86672e+02,  1.71641e+00,
   271,    26,  6.31949e+00,  5.30545e-03,  1.27188e+01, -8.98433e-03, -5.11806e+02,  6.92389e-01,
   271,   126, -6.31949e+00, -5.30545e-03,  1.23747e+01,  8.98433e-03,  4.70696e+02,  6.20409e-01,
   272,    27,      0.0,   -1.46504e-02,  1.25302e+01,  6.16314e-02, -4.78815e+02, -1.38357e+00,
   272,   127,      0.0,    1.46504e-02,  1.25633e+01, -6.16314e-02,  4.82785e+02, -2.13252e+00,
   273,    28,  6.55805e+00, -1.17486e-02,  1.25483e+01,  9.45147e-01, -4.90840e+02, -8.31012e-01,
   273,   128, -6.55805e+00,  1.17486e-02,  1.25452e+01, -9.45147e-01,  4.90987e+02, -1.99104e+00,
   274,    29,  4.27813e+00,  1.91232e-03,  1.24991e+01, -3.06168e-02, -4.89193e+02, -8.62928e-03,
   274,    79, -4.27813e+00, -1.91232e-03,  1.25944e+01,  3.06168e-02,  5.00645e+02,  4.70098e-01,
   275,    30,  4.19416e+00,  2.12604e-03,  1.24987e+01, -3.77898e-02, -4.89428e+02, -1.29917e-01,
   275,    80, -4.19416e+00, -2.12604e-03,  1.25949e+01,  3.77898e-02,  5.01023e+02,  6.45461e-01,
   276,    33, -6.26025e-01,  1.54818e-02,  1.23942e+01, -5.11116e-03, -4.74601e+02,  1.40799e+00,
   276,    83,  6.26025e-01, -1.54818e-02,  1.26993e+01,  5.11116e-03,  5.11187e+02,  2.30386e+00,
   277,    34, -4.55267e-01,  1.09097e-02,  1.23789e+01, -8.25505e-03, -4.72819e+02,  8.62949e-01,
   277,    84,  4.55267e-01, -1.09097e-02,  1.27146e+01,  8.25505e-03,  5.13092e+02,  1.75347e+00,
   278,    37,  1.70407e-01,  1.71790e-02,  1.22962e+01, -3.11938e-04, -4.63064e+02,  1.61761e+00,
   278,    87, -1.70407e-01, -1.71790e-02,  1.27973e+01,  3.11938e-04,  5.23211e+02,  2.50644e+00,
   279,    38,  2.28849e-01,  1.09251e-02,  1.22913e+01, -1.55362e-02, -4.62405e+02,  8.63116e-01,
   279,    88, -2.28849e-01, -1.09251e-02,  1.28022e+01,  1.55362e-02,  5.23734e+02,  1.75994e+00,
   280,    41, -3.25514e-01,  1.89258e-02,  1.22265e+01,  8.74496e-03, -4.55354e+02,  1.82958e+00,
   280,    91,  3.25514e-01, -1.89258e-02,  1.28670e+01, -8.74496e-03,  5.32196e+02,  2.71047e+00,
   281,    42, -8.39032e-01,  9.95729e-03,  1.22074e+01, -1.85977e-02, -4.53124e+02,  8.02264e-01,
   281,    92,  8.39032e-01, -9.95729e-03,  1.28862e+01,  1.85977e-02,  5.34507e+02,  1.58343e+00,
   282,    45, -1.83383e+00,  2.37553e-02,  1.21462e+01,  3.34285e-02, -4.45150e+02,  2.43901e+00,
   282,    95,  1.83383e+00, -2.37553e-02,  1.29473e+01, -3.34285e-02,  5.41103e+02,  3.25136e+00,
   283,    46, -9.34616e-01,  3.02600e-03,  1.22075e+01,  2.23329e-02, -4.53112e+02, -9.14987e-02,
   283,    96,  9.34616e-01, -3.02600e-03,  1.28861e+01, -2.23329e-02,  5.34454e+02,  8.14390e-01,
   284,    49,  6.43371e+00,  5.00679e-03,  1.24389e+01,  2.91373e-02, -4.72631e+02, -2.57865e-01,
   284,    99, -6.43371e+00, -5.00679e-03,  1.26546e+01, -2.91373e-02,  4.99186e+02,  1.49163e+00,
   285,    50,  5.94374e+00,  2.45079e-02,  1.24586e+01,  2.48492e-03, -4.70388e+02,  1.96811e+00,
   285,   100, -5.94374e+00, -2.45079e-02,  1.26349e+01, -2.48492e-03,  4.92120e+02,  3.93083e+00,
   286,    31, -1.10296e-01,  5.93193e-03,  1.24332e+01, -1.92965e-02, -4.78937e+02,  2.13112e-01,
   286,   131,  1.10296e-01, -5.93193e-03,  1.26603e+01,  1.92965e-02,  5.06192e+02,  1.21035e+00,
   287,    32, -8.67372e-01,  7.38715e-03,  1.24295e+01, -2.76195e-02, -4.78494e+02,  3.96033e-01,
   287,   132,  8.67372e-01, -7.38715e-03,  1.26640e+01,  2.76195e-02,  5.06610e+02,  1.37481e+00,
   288,    35, -5.77029e-02,  9.12844e-03,  1.23267e+01, -4.92475e-03, -4.66873e+02,  6.57911e-01,
   288,   135,  5.77029e-02, -9.12844e-03,  1.27668e+01,  4.92475e-03,  5.19687e+02,  1.53271e+00,
   289,    36, -1.01845e-02,  1.42074e-02,  1.23200e+01, -2.33730e-02, -4.66016e+02,  1.26577e+00,
   289,   136,  1.01845e-02, -1.42074e-02,  1.27736e+01,  2.33730e-02,  5.20446e+02,  2.14395e+00,
   290,    39,  3.66451e-01,  1.01746e-02,  1.22493e+01,  7.01285e-03, -4.57311e+02,  7.79777e-01,
   290,   139, -3.66451e-01, -1.01746e-02,  1.28442e+01, -7.01285e-03,  5.28726e+02,  1.66370e+00,
   291,    40,  3.36447e-01,  1.78726e-02,  1.22434e+01, -1.99560e-02, -4.56500e+02,  1.68429e+00,
   291,   140, -3.36447e-01, -1.78726e-02,  1.28501e+01,  1.99560e-02,  5.29342e+02,  2.60726e+00,
   292,    43, -2.91662e+00,  6.83532e-03,  1.21719e+01,  2.83077e-02, -4.50676e+02,  4.26035e-01,
   292,   143,  2.91662e+00, -6.83532e-03,  1.29216e+01, -2.83077e-02,  5.40317e+02,  1.20528e+00,
   293,    44, -2.86290e+00,  1.50364e-02,  1.21732e+01,  1.52559e-02, -4.50890e+02,  1.48065e+00,
   293,   144,  2.86290e+00, -1.50364e-02,  1.29203e+01, -1.52559e-02,  5.40247e+02,  2.11464e+00,
   294,    47,  6.92527e+00,  3.17593e-03,  1.22265e+01,  1.91498e-02, -4.42807e+02, -3.90512e-01,
   294,   147, -6.92527e+00, -3.17593e-03,  1.28670e+01, -1.91498e-02,  5.20498e+02,  1.16739e+00,
   295,    48,  6.92626e+00,  2.10845e-02,  1.22651e+01, -1.61965e-02, -4.48910e+02,  1.51060e+00,
   295,   148, -6.92626e+00, -2.10845e-02,  1.28285e+01,  1.61965e-02,  5.17319e+02,  3.57568e+00,
"R E A C T I O N S  (global)"
 Node   ,    Fx      ,   Fy   ,      Fz   ,     Mxx    ,    Myy    ,    Mzz
     1,  9.54704e-01, -6.56458e+00,  2.38568e-01,  9.93804e+01,  1.44537e+01, -7.51750e-03,
     2,  2.11746e+01, -2.01395e-02,  3.87155e+02,  8.81105e-01,  3.07846e+02,  1.61029e-02,
     3,  8.18181e-02, -3.98592e+00,  5.62421e+02, -4.06060e+01, -1.47052e+01,  1.14397e-01,
     4,  3.68540e-01, -4.57128e+00,  5.62191e+02, -2.35107e+02, -1.87591e+01,  1.16867e-01,
     5, -1.04687e+01,  7.80926e-03,  3.72542e+02, -1.71087e+00,  7.48071e+02, -3.38814e-01,
     6, -1.12458e+00,  4.31624e-02,  1.58554e+02, -5.16944e+00, -6.49612e+01,  2.73404e-02,
     7, -4.81107e+00,  4.88333e+00,  4.31637e+01,       0.0,        0.0,        0.0, 
     8,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     9,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    10,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    11, -9.23975e-01,  1.99162e+00,  3.31881e+01,       0.0,        0.0,        0.0, 
    12,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    13,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    14,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    15,  1.66899e-01, -2.03626e-01,  3.49162e+01,       0.0,        0.0,        0.0, 
    16,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    17,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    18,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    19, -6.87702e-01, -1.10797e+00,  3.61065e+01,       0.0,        0.0,        0.0, 
    20,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    21,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    22,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    23,  9.21557e+00,  5.30768e+00,  3.70056e+01,       0.0,        0.0,        0.0, 
    24,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    25,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    26,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    27, -1.18189e+01, -4.32961e+00,  2.38025e+01,       0.0,        0.0,        0.0, 
    28,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    29,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    30,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    31,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    32,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    33,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    34,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    35,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    36,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    37,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    38,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    39,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    40,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    41,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    42,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    43,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    44,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    45,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    46,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    47,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    48,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    49,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    50,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    51,  1.21760e+00,  1.24819e+01,  2.38568e-01, -1.88963e+02,  1.84339e+01, -2.34824e-02,
    52,  1.05323e+01,  5.33833e+00,  2.22531e+02, -7.20961e+01,  1.58855e+02, -2.85322e-02,
    53,  6.97391e-01,  8.13684e+00,  3.12201e+02, -5.00243e+01,  2.65970e+01, -7.04705e-02,
    54,  1.65465e+00,  8.08143e+00,  3.11853e+02,  1.26172e+02,  4.08533e+01, -1.11453e-01,
    55, -3.64907e+00,  2.66536e+00,  2.16214e+02, -1.04798e+02,  9.68385e+02,  7.88956e-02,
    56, -6.46230e-01,  2.67183e+00,  9.60317e+01, -1.07085e+02, -2.55931e+01,  3.18979e-02,
    57, -3.77355e-01, -6.82982e+00,  3.09549e+01,       0.0,        0.0,        0.0, 
    58,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    59,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    60,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    61,  4.35449e+00, -1.94848e+00,  2.02828e+01,       0.0,        0.0,        0.0, 
    62,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    63,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    64,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    65,  5.80770e+00,  2.98919e-01,  2.12885e+01,       0.0,        0.0,        0.0, 
    66,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    67,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    68,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    69,  5.07073e+00,  6.00945e-01,  2.19490e+01,       0.0,        0.0,        0.0, 
    70,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    71,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    72,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    73,  1.11934e+01, -2.95261e+00,  2.28875e+01,       0.0,        0.0,        0.0, 
    74,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    75,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    76,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    77, -1.46560e-01, -1.63567e+00,  7.98732e+00,       0.0,        0.0,        0.0, 
    78,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    79,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    80,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    81,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    82,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    83,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    84,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    85,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    86,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    87,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    88,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    89,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    90,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    91,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    92,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    93,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    94,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    95,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    96,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    97,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    98,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    99,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   100,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   101,  1.15429e+00, -5.55605e+00,  2.38568e-01,  8.41124e+01,  1.74754e+01,  3.04446e-02,
   102,  9.77495e+00, -5.35662e+00,  2.04171e+02,  7.36085e+01,  1.28702e+02,  5.59073e-04,
   103, -1.19392e+00, -4.24463e+00,  2.60621e+02,  9.53374e+01, -6.25684e+01, -5.66808e-02,
   104, -9.95468e-01, -3.52975e+00,  2.60796e+02,  1.13484e+02, -6.54526e+01, -4.24701e-02,
   105, -5.42746e+00, -2.65555e+00,  1.96045e+02,  1.01953e+02, -2.34772e+02,  3.34473e-03,
   106, -1.34452e+00, -2.59809e+00,  9.62805e+01,  9.72724e+01, -7.99774e+01,  2.11313e-02,
   107, -7.20720e+00,  1.63754e+00,  1.87316e+01,       0.0,        0.0,        0.0, 
   108,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   109,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   110,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   111, -5.84085e+00, -1.26291e-01,  2.01146e+01,       0.0,        0.0,        0.0, 
   112,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   113,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   114,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   115, -6.27438e+00, -1.26514e-01,  2.09635e+01,       0.0,        0.0,        0.0, 
   116,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   117,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   118,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   119, -4.79443e+00,  7.25421e-01,  2.16336e+01,       0.0,        0.0,        0.0, 
   120,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   121,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   122,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   123,  9.39563e-01, -3.10173e+00,  2.16935e+01,       0.0,        0.0,        0.0, 
   124,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   125,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   126,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   127, -8.62686e+00,  6.57277e+00,  2.29404e+01,       0.0,        0.0,        0.0, 
   128,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   129,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   130,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   131,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   132,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   133,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   134,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   135,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   136,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   137,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   138,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   139,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   140,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   141,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   142,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   143,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   144,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   145,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   146,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   147,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   148,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
"R M S    R E L A T I V E    E Q U I L I B R I U M    E R R O R:", 3.987e-07
