" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2015, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example C: a tetrahedral frame - static and dynamic analysis (in  kip)               "
" Sun Nov  1 22:45:12 2015
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions , Internal Forces 
 First Row , 1 , 17 , 37 , 135  , 157  
 Last Row , 1 , 34 , 132 , 152 , 252 

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,        0.0,        0.0,      8.47584e-05, -2.15617e-03, -3.32889e-03,
     2,  1.69815e-01, -9.03586e-02, -4.80406e-02, -1.39893e-03,  6.05982e-04, -4.78752e-03,
     3,    0.0,        0.0,        0.0,     -8.93388e-04, -6.74000e-04, -2.60327e-03,
     4, -6.55601e-02, -5.20460e-01,  2.01810e-01, -3.17420e-03, -7.93004e-04, -2.71845e-03,
     5,  9.65873e-02, -5.55052e-01, -1.12018e-01, -3.41665e-03,  1.12460e-04, -2.26227e-03,
     6, -2.83419e-03, -2.26473e-01,  5.42664e-02, -2.67660e-03, -3.06864e-04, -2.04851e-03,
     7, -2.56409e-02, -6.67433e-01,  2.30696e-01, -3.06381e-03, -2.25121e-04, -6.34711e-04,
     8,  2.28610e-02, -6.66269e-01, -7.27481e-02, -3.10507e-03, -1.88365e-04, -6.09571e-04,
    47,    18,  4.24364e-01, -6.99203e-01, -1.80811e-01, -1.44256e+01, -2.12385e+01,  3.32622e+01,
    48,    16,  2.83231e-01,  5.71648e-01, -5.02387e-01,  2.36750e+00,  2.27715e+01,  1.21720e+01,
    48,    18,  2.83231e-01, -5.71648e-01,  7.85618e-01, -2.36750e+00,  4.92302e+01,  5.17402e+01,
"R E A C T I O N S  (global)"
 Node   ,    Fx      ,   Fy   ,      Fz   ,     Mxx    ,    Myy    ,    Mzz
     1,  2.06052e+02,  2.76051e+02, -1.98124e+00,       0.0,        0.0,        0.0, 
     2,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     3,  2.33359e+01, -7.04942e+00,  5.93026e-01,       0.0,        0.0,        0.0, 
     4,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     5,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     6,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     7,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     8,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     9,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    10,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    11,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    12,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    13,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    14,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    15,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    16, -2.66494e+02,  2.82715e+02,  1.92709e+01,       0.0,        0.0,        0.0, 
    17,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    18,  3.71060e+01, -1.71629e+00,  3.50808e+00,       0.0,        0.0,        0.0, 
"R M S    R E L A T I V E    E Q U I L I B R I U M    E R R O R:", 8.014e-10

"P E A K   F R A M E   E L E M E N T   I N T E R N A L   F O R C E S    (local)",
 "Elmnt",  ".", "Nx", "Vy", "Vz",  "Txx", "Myy", "Mzz", 
     1, "max",   -262.040,      15.609,      0.844,     15.882,    -13.301,    676.776
     1, "min",   -262.040,      15.609,      0.561,     15.882,    -70.994,   -839.607
     2, "max",      6.780,       0.845,     -0.537,     12.992,     19.861,     39.080
     2, "min",      6.497,       0.845,     -0.679,     12.992,    -48.788,    -56.534
     3, "max",      0.283,       0.319,      1.215,      6.747,     32.007,    -34.100
     3, "min",     -0.283,       0.319,      0.932,      6.747,    -88.028,    -69.777
     4, "max",   -190.124,     -13.050,      1.540,    -18.739,     49.361,    736.439
     4, "min",   -190.124,     -13.050,      1.257,    -18.739,   -128.826,   -667.562
     5, "max",   -212.360,      48.839,     -0.633,    -11.602,     56.580,    619.272
     5, "min",   -212.360,     -61.161,     -0.916,    -11.602,    -34.423,  -1132.049
     6, "max",    -16.438,       0.433,      0.446,    -10.253,     -5.708,     51.877
     6, "min",    -16.438,       0.433,     -0.121,    -10.253,    -23.879,     12.323
     7, "max",     -9.061,      -0.931,      0.461,     -5.382,     41.608,     17.763
     7, "min",     -9.344,      -0.931,      0.144,     -5.382,     -6.228,   -126.508
     8, "max",    282.353,       0.502,      0.845,     -1.082,     60.495,    193.694
     8, "min",    282.353,       0.502,      0.444,     -1.082,     38.459,    -10.210
     9, "max",     -5.607,      -0.107,      0.532,      4.901,     36.444,    106.306
     9, "min",     -6.173,      -0.107,     -0.101,      4.901,      2.266,     89.070
    10, "max",   -100.318,       5.770,      0.974,      5.206,     16.698,    306.430
